,Label,Label_RF100,Label_DT4,no_url,Label_HYBRID_100_4
0,web,web,web,1,web
1,web,web,web,1,web
2,web,web,web,1,web
3,web,web,web,1,web
4,web,web,web,1,web
5,web,web,web,1,web
6,web,web,web,1,web
7,web,web,web,1,web
8,web,web,web,1,web
9,web,web,web,1,web
10,web,web,web,1,web
11,web,web,web,1,web
12,web,web,web,1,web
13,web,web,web,1,web
14,web,web,web,1,web
15,web,web,web,1,web
16,web,web,web,1,web
17,web,web,web,1,web
18,web,web,web,1,web
19,web,web,web,1,web
20,web,web,web,1,web
21,web,web,web,1,web
22,web,web,web,1,web
23,web,web,web,1,web
24,web,web,web,1,web
25,web,web,web,1,web
26,web,web,web,1,web
27,web,web,web,1,web
28,web,web,web,1,web
29,web,web,web,1,web
30,web,web,web,1,web
31,web,web,web,1,web
32,web,web,web,0,web
33,web,web,web,1,web
34,web,web,web,1,web
35,web,web,web,1,web
36,web,web,web,1,web
37,ssh,ssh,ssh,1,ssh
38,web,web,web,1,web
39,web,web,web,1,web
40,web,web,web,1,web
41,web,web,web,1,web
42,web,web,web,1,web
43,web,web,web,1,web
44,web,web,web,1,web
45,web,web,web,1,web
46,web,web,web,1,web
47,web,web,web,1,web
48,web,web,web,1,web
49,web,web,web,1,web
50,web,web,web,1,web
51,web,web,web,1,web
52,web,web,web,1,web
53,web,web,web,1,web
54,web,web,web,1,web
55,web,web,web,1,web
56,web,web,web,1,web
57,web,web,web,1,web
58,web,web,web,1,web
59,web,web,web,1,web
60,web,web,web,1,web
61,web,web,web,1,web
62,web,web,web,1,web
63,web,web,web,1,web
64,web,web,web,1,web
65,web,web,web,1,web
66,web,web,web,1,web
67,web,web,web,1,web
68,web,web,web,1,web
69,web,web,web,1,web
70,web,web,web,1,web
71,web,web,web,1,web
72,web,web,web,1,web
73,web,web,web,1,web
74,web,web,web,1,web
75,web,web,web,1,web
76,web,web,web,1,web
77,web,web,web,1,web
78,web,web,web,1,web
79,web,web,web,0,web
80,web,web,web,1,web
81,web,web,web,1,web
82,web,web,web,1,web
83,web,web,web,1,web
84,web,web,web,1,web
85,web,web,web,1,web
86,web,web,web,0,web
87,web,web,web,1,web
88,web,web,web,1,web
89,web,web,web,1,web
90,web,web,web,1,web
91,web,web,web,1,web
92,web,web,web,1,web
93,web,web,web,1,web
94,web,web,web,1,web
95,web,web,web,1,web
96,web,web,web,1,web
97,web,web,web,1,web
98,web,web,web,1,web
99,web,web,web,1,web
100,web,web,web,1,web
101,web,web,web,1,web
102,web,web,web,1,web
103,web,web,web,1,web
104,web,web,web,1,web
105,web,web,web,1,web
106,web,web,web,1,web
107,web,web,web,1,web
108,web,web,web,1,web
109,web,web,web,1,web
110,web,web,web,1,web
111,web,web,web,1,web
112,web,web,web,1,web
113,web,web,web,1,web
114,web,web,web,1,web
115,web,web,web,1,web
116,web,web,web,1,web
117,web,web,web,1,web
118,web,web,web,1,web
119,web,web,web,1,web
120,web,web,web,1,web
121,web,web,web,1,web
122,web,web,web,1,web
123,web,web,web,1,web
124,web,web,web,1,web
125,web,web,web,1,web
126,web,web,web,1,web
127,web,web,web,1,web
128,web,web,web,1,web
129,web,web,web,1,web
130,web,web,web,1,web
131,web,web,web,1,web
132,web,web,web,1,web
133,web,web,web,1,web
134,web,web,web,1,web
135,web,web,web,1,web
136,web,web,web,1,web
137,web,web,web,1,web
138,web,web,web,1,web
139,web,web,web,1,web
140,web,web,web,1,web
141,web,web,web,1,web
142,web,web,web,1,web
143,web,web,web,1,web
144,web,web,web,1,web
145,web,web,web,1,web
146,web,web,web,1,web
147,web,web,web,1,web
148,web,web,web,1,web
149,web,web,web,1,web
150,web,web,web,1,web
151,web,web,web,1,web
152,web,web,web,1,web
