,Label,Label_RF100,Label_DT4,Label_HYBRID_100_4,Destination,Destination Port,no_url
0,smtp,web,smtp,web,197.182.91.233,25,1
1,smtp,web,smtp,ssh,172.16.112.100,25,1
2,smtp,web,smtp,web,197.218.177.69,25,1
3,smtp,smtp,smtp,smtp,197.182.91.233,25,1
4,smtp,web,smtp,web,172.16.113.105,25,1
5,smtp,web,smtp,web,172.16.114.207,25,1
6,smtp,web,smtp,web,197.182.91.233,25,1
7,ftp,ftp,ftp,ftp,197.218.177.69,21,1
8,smtp,web,smtp,web,172.16.113.84,25,1
9,smtp,web,smtp,web,172.16.113.105,25,1
10,smtp,web,smtp,web,172.16.112.207,25,1
11,smtp,web,smtp,web,172.16.114.169,25,1
12,smtp,web,smtp,web,172.16.112.207,25,1
13,web,web,web,web,137.245.85.134,80,0
14,smtp,web,smtp,web,197.218.177.69,25,1
15,smtp,web,smtp,web,196.227.33.189,25,1
16,web,web,web,web,204.123.2.66,80,0
17,web,web,web,web,204.123.2.107,80,0
18,web,web,web,web,204.123.2.107,80,0
19,web,web,web,web,199.95.209.99,80,1
20,web,web,web,web,199.95.209.99,80,1
21,web,web,web,web,204.123.2.107,80,0
22,web,web,web,web,204.123.2.107,80,0
23,web,web,web,web,199.95.209.99,80,1
24,web,web,web,web,204.123.2.107,80,0
25,web,web,web,web,199.95.209.99,80,1
26,web,web,web,web,199.95.209.99,80,1
27,smtp,web,smtp,web,172.16.113.105,25,1
28,smtp,web,smtp,web,172.16.114.207,25,1
29,smtp,web,smtp,web,196.227.33.189,25,1
30,smtp,web,smtp,ssh,172.16.112.100,25,1
31,web,web,web,web,204.123.2.107,80,0
32,web,web,web,web,204.123.2.66,80,0
33,web,web,web,web,204.123.2.107,80,0
34,web,web,web,web,204.123.2.107,80,0
35,web,web,web,web,204.123.2.107,80,0
36,smtp,web,smtp,web,172.16.114.168,25,1
37,smtp,web,smtp,web,172.16.113.84,25,1
38,smtp,web,smtp,ssh,172.16.112.100,25,1
39,web,web,web,web,204.123.2.107,80,0
40,web,web,web,web,204.123.2.107,80,0
41,web,web,web,web,204.123.2.107,80,0
42,web,web,web,web,204.123.2.107,80,0
43,web,web,web,web,204.123.2.107,80,0
44,smtp,web,smtp,web,172.16.114.207,25,1
45,smtp,web,smtp,web,195.73.151.50,25,1
46,smtp,web,smtp,web,135.13.216.191,25,1
47,smtp,web,smtp,web,197.182.91.233,25,1
48,smtp,web,smtp,web,196.37.75.158,25,1
49,smtp,web,smtp,web,196.227.33.189,25,1
50,smtp,web,smtp,web,135.8.60.182,25,1
51,smtp,web,smtp,ssh,172.16.112.100,25,1
52,smtp,web,smtp,ssh,195.115.218.108,25,1
53,smtp,smtp,smtp,smtp,194.7.248.153,25,1
54,smtp,smtp,smtp,smtp,196.37.75.158,25,1
55,smtp,smtp,smtp,smtp,197.218.177.69,25,1
56,smtp,web,smtp,ssh,172.16.112.100,25,1
57,smtp,smtp,smtp,smtp,172.16.114.148,25,1
58,web,web,web,web,204.123.9.65,80,1
59,web,web,web,web,199.95.74.90,80,1
60,web,web,web,web,199.95.74.90,80,1
61,web,web,web,web,199.95.74.90,80,1
62,web,web,web,ssh,199.95.74.97,80,1
63,web,web,web,ssh,199.95.74.97,80,1
64,web,web,web,ssh,199.95.74.97,80,1
65,web,web,web,ssh,199.95.74.97,80,1
66,web,web,web,ssh,199.95.74.97,80,1
67,web,web,web,web,199.95.74.90,80,1
68,web,web,web,web,199.95.74.90,80,1
69,web,web,web,ssh,199.95.74.97,80,1
70,web,web,web,ssh,199.95.74.97,80,1
71,web,web,web,web,199.95.74.90,80,1
72,web,web,web,ssh,199.95.74.97,80,1
73,web,web,web,web,199.95.74.90,80,1
74,web,web,web,web,199.95.74.90,80,1
75,web,web,web,web,199.95.74.90,80,1
76,web,web,web,web,199.95.74.90,80,1
77,web,web,web,web,199.95.74.90,80,1
78,web,web,web,web,199.95.74.90,80,1
79,web,web,web,web,199.95.74.90,80,1
80,web,web,web,web,199.95.74.90,80,1
81,smtp,web,smtp,ssh,172.16.112.100,25,1
82,smtp,web,smtp,web,172.16.113.105,25,1
83,web,web,web,web,152.163.210.24,80,1
84,web,web,web,web,205.188.146.109,80,1
85,web,web,web,web,205.188.146.109,80,1
86,web,web,web,web,205.188.146.109,80,1
87,web,web,web,web,152.163.210.24,80,1
88,web,web,web,web,152.163.210.24,80,1
89,web,web,web,web,152.163.210.24,80,1
